"LG","ORT","Latitude","Longitude"
"Lokalgruppe PG Berlin"," Berlin","52.5170365000","13.3888599000"
"Lokalgruppe PG Bonn"," Bonn","50.7358510000","7.1006600000"
"Lokalgruppe PG Darmstadt"," Darmstadt","49.8727750000","8.6511770000"
"Lokalgruppe PG Frankfurt"," Frankfurt","50.1106444000","8.6820917000"
"Lokalgruppe PG Hamburg"," Hamburg","53.5437641000","10.0099133000"
"Lokalgruppe PG Köln"," Köln","50.9383610000","6.9599740000"
"Lokalgruppe PG Leipzig"," Leipzig","51.3406321000","12.3747329000"
"Lokalgruppe PG Marburg"," Marburg","50.8117327000","8.7757742000"
"Lokalgruppe PG München"," München","48.1371079000","11.5753822000"
"Lokalgruppe PG Nürnberg"," Nürnberg","49.4538720000","11.0772980000"
"Lokalgruppe PG Stuttgart"," Stuttgart","48.7784485000","9.1800132000"
